Команда 1;Команда 2;Кэф 1;Кэф 2;Время
Зенит Санкт-Петербург;Калев / Крамо;к1.025;к16.25;20:00
Гран Канария;Валенсия;к4.75;к1.172;20:00
Фамила Скио;Пассалаккуа Рагуза;к1.108;к5.95;21:00
Либертас Монкальери;Алпо Виллафранка;к1.108;к5.95;21:30
Норд Драгонц;Флеймс;к1.045;к8.80;19:00
Фюрстенфельд Пантерз;Дорнбирн Лайонз;к1.149;к5.00;20:00
Коста Карибе;Ривас;к1.036;к9.50;27 сен 03:30
Дзики Варшава;Висла Краков;к1.197;к4.30;19:00
Галомар;Академико;к1.074;к7.20;20:00
Златибор;Нови-Пазар;к1.05;к8.50;19:00
Левицки Патриоти;Прьевидза;к1.033;к9.80;19:00
Триглав;Подчетртек;к6.90;к1.087;19:00
Крка;Шенчур;к1.144;к5.25;20:00
Блуа;Сен-Шамон;к1.054;к8.30;21:00
Фо-Сюр-Мер;Экс-Морьян;к1.064;к7.70;21:00
Забок;Горица;к5.30;к1.143;20:00
Денсо Ирис;Яманаси Квин Бис;к1.082;к6.85;27 сен 06:00
Эносис Неон Паралимни;ЭТА Энгомис;к1.182;к4.60;19:00
Лерида;Пеньяс Уэска;к1.188;к4.50;20:00
Касерес;Реал Каное;к1.176;к4.70;21:00
